id,kode_provinsi,nama_provinsi,kode_hs,jenis_barang,nilai_ekspor,satuan,tahun
1,32,JAWA BARAT,1,LIVE ANIMALS,404735,US DOLLAR,2016
2,32,JAWA BARAT,2,MEAT,668872,US DOLLAR,2016
3,32,JAWA BARAT,3,FISH,58383487,US DOLLAR,2016
4,32,JAWA BARAT,4,DAIRY PRODUCTS,12252367,US DOLLAR,2016
5,32,JAWA BARAT,5,NON-EDIBLE ANIMAL PARTS,864886,US DOLLAR,2016
6,32,JAWA BARAT,6,VEGETABLE PRODUCTS,7605152,US DOLLAR,2016
7,32,JAWA BARAT,7,EDIBLE VEGETABLES,7445514,US DOLLAR,2016
8,32,JAWA BARAT,8,FRUIT AND NUTS,16737660,US DOLLAR,2016
9,32,JAWA BARAT,9,"COFFEE, TEA AND SPICES",103925801,US DOLLAR,2016
10,32,JAWA BARAT,10,CEREALS,261902,US DOLLAR,2016
11,32,JAWA BARAT,11,FLOUR,1828232,US DOLLAR,2016
12,32,JAWA BARAT,12,SEEDS AND GRAINS,3779936,US DOLLAR,2016
13,32,JAWA BARAT,13,VEGETABLE SAPS AND EXTRACTS,7963909,US DOLLAR,2016
14,32,JAWA BARAT,14,"VEGETABLE PLAITING MATERIAL (bamboo, rattan etc)",3423541,US DOLLAR,2016
15,32,JAWA BARAT,15,"FATS, OILS AND WAXES",221437302,US DOLLAR,2016
16,32,JAWA BARAT,16,PREPARED MEAT OR FISH,42812649,US DOLLAR,2016
17,32,JAWA BARAT,17,SUGARS AND SUGAR CONFECTIONERY,79046354,US DOLLAR,2016
18,32,JAWA BARAT,18,COCOA AND COCOA PREPARATIONS,258046514,US DOLLAR,2016
19,32,JAWA BARAT,19,"FOOD PREPARED FROM CEREALS, STARCH OR MILK",453569981,US DOLLAR,2016
20,32,JAWA BARAT,20,"PRESERVED VEGETABLES, FRUITS AND NUTS",9993900,US DOLLAR,2016
21,32,JAWA BARAT,21,MISCELLANEOUS FOODS,493627180,US DOLLAR,2016
22,32,JAWA BARAT,22,"BEVERAGES, SPIRITS AND VINEGAR",39936892,US DOLLAR,2016
23,32,JAWA BARAT,23,FOOD WASTE AND ANIMAL FODDER,15013817,US DOLLAR,2016
24,32,JAWA BARAT,24,TOBACCO AND SUBSTITUTES,87163314,US DOLLAR,2016
25,32,JAWA BARAT,25,"SALT, SULPHUR, EARTHS AND STONE, PLASTER, LIME   AND CEMENT",10088997,US DOLLAR,2016
26,32,JAWA BARAT,26,"ORES, SLAG AND ASH",1442661,US DOLLAR,2016
27,32,JAWA BARAT,27,MINERAL FUELS AND OILS,446679970,US DOLLAR,2016
28,32,JAWA BARAT,28,CHEMICALS AND ALLIED PRODUCTS,37452959,US DOLLAR,2016
29,32,JAWA BARAT,29,ORGANIC CHEMICAL,92322925,US DOLLAR,2016
30,32,JAWA BARAT,30,PHARMACEUTICAL PRODUCTS,184497262,US DOLLAR,2016
31,32,JAWA BARAT,31,FERTILIZERS,13336982,US DOLLAR,2016
32,32,JAWA BARAT,32,"TANS, DYES, PIGMENTS, PAINTS, VARNISHES, INKS",70568046,US DOLLAR,2016
33,32,JAWA BARAT,33,"ESSENTIAL OILS AND RESINOIDS, PERFUMERY, COSMETICS OR TOILET",305043487,US DOLLAR,2016
34,32,JAWA BARAT,34,"SOAP, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, WAXES",154173029,US DOLLAR,2016
35,32,JAWA BARAT,35,"ALBUMINOIDAL SUBSTANCES, MODIFIED STARCHES, GLUES, ENZYMES",9182025,US DOLLAR,2016
36,32,JAWA BARAT,36,EXPLOSIVES,0,US DOLLAR,2016
37,32,JAWA BARAT,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,235900,US DOLLAR,2016
38,32,JAWA BARAT,38,MISCELLANEOUS CHEMICAL PRODUCTS,181512989,US DOLLAR,2016
39,32,JAWA BARAT,39,PLASTIC & PLASTIC ARTICLES,800009362,US DOLLAR,2016
40,32,JAWA BARAT,40,RUBBER AND RUBBER ARTICLES,1378899943,US DOLLAR,2016
41,32,JAWA BARAT,41,"RAW HIDES, SKINS AND LEATHERS",52360682,US DOLLAR,2016
42,32,JAWA BARAT,42,LEATHER ARTICLES AND TRAVEL GOODS,197659805,US DOLLAR,2016
43,32,JAWA BARAT,43,FURSKINS AND ARTIFICIAL FUR,1354966,US DOLLAR,2016
44,32,JAWA BARAT,44,WOOD,226157309,US DOLLAR,2016
45,32,JAWA BARAT,45,CORK,0,US DOLLAR,2016
46,32,JAWA BARAT,46,PLAITING MATERIALS AND ARTICLES,34929653,US DOLLAR,2016
47,32,JAWA BARAT,47,WOOD PULP AND WASTE,362475,US DOLLAR,2016
48,32,JAWA BARAT,48,PAPER,844991133,US DOLLAR,2016
49,32,JAWA BARAT,49,PRINTED MATERIALS,6307878,US DOLLAR,2016
50,32,JAWA BARAT,50,SILK,2451,US DOLLAR,2016
51,32,JAWA BARAT,51,"WOOL, ANIMAL HAIR AND WOVEN FABRIC",1405114,US DOLLAR,2016
52,32,JAWA BARAT,52,COTTON,324948176,US DOLLAR,2016
53,32,JAWA BARAT,53,OTHER VEGETABLE TEXTILE FIBRES  AND PAPER YARN,205616,US DOLLAR,2016
54,32,JAWA BARAT,54,MAN-MADE FILAMENTS,798482054,US DOLLAR,2016
55,32,JAWA BARAT,55,MAN-MADE STAPLE FIBRES,1111827287,US DOLLAR,2016
56,32,JAWA BARAT,56,"WADDING, FELT AND NON-WOVENS, SPECIAL YARNS AND ROPES",40878978,US DOLLAR,2016
57,32,JAWA BARAT,57,CARPETS,43622020,US DOLLAR,2016
58,32,JAWA BARAT,58,SPECIAL WOVEN FABRICS AND TRIMMINGS,52694233,US DOLLAR,2016
59,32,JAWA BARAT,59,INDUSTRIAL TEXTILE FIBRES,98558298,US DOLLAR,2016
60,32,JAWA BARAT,60,KNITTED OR CROCHETED FABRICS,64378141,US DOLLAR,2016
61,32,JAWA BARAT,61,KNITTED OR CROCHETED CLOTHES,1891936576,US DOLLAR,2016
62,32,JAWA BARAT,62,CLOTHES (NOT KNITTED OR CROCHETED),1507797066,US DOLLAR,2016
